Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
;;;;;;;;;;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;€ 2,00;4;;€ 0,00;€ 55,80;;;;

Maastricht;Djayden Meens;06-27613354;DjaydenMeens@superrito.com;Keurmeestersdreef 97;Maastricht;donderdag 13 december 2018;Afhalen;donderdag 13 december 2018;20:54;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Wijchen;Sharonna de Groote;06-69057000;SharonnadeGroote@dayrep.com;Meerdreef 175;Wijchen;woensdag 15 mei 2019;Bezorgen;woensdag 15 mei 2019;19:35;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;€ 2,00;4;;€ 0,00;€ 35,80;€ 35,80;;€ 0,00;€ 35,80

Leiden;Max Leeuwis;06-39344816;MaxLeeuwis@fleckens.hu;Herensteeg 124;Leiden;dinsdag 29 augustus 2017;Afhalen;dinsdag 29 augustus 2017;18:13;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 17,90;2e pizza gratis bij afhalen;€ 6,95;€ 10,95
;;;;;;;;;;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;

Oss;Minke Fokkinga;06-11817069;MinkeFokkinga@rhyta.com;Grotestraat 96;Ravenstein;woensdag 3 juli 2019;Bezorgen;woensdag 3 juli 2019;16:12;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 91,60;;€ 0,00;€ 91,60
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;Spaanse Pepers, Spaanse Pepers;€ 2,00;€ 23,90;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;

Hoorn;Yaniek Sabel;06-20439824;YaniekSabel@superrito.com;Mallegomsteeg 18;Hoorn;zaterdag 30 november 2019;Afhalen;zaterdag 30 november 2019;20:36;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 13,95;€ 22,90;;€ 0,00;€ 22,90
;;;;;;;;;;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;

Wijchen;Flor Hopstaken;06-57746487;FlorHopstaken@gustr.com;Elsland 96;Wijchen;vrijdag 3 mei 2019;Afhalen;vrijdag 3 mei 2019;16:34;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 19,90;€ 27,85;;€ 0,00;€ 27,85
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;;;;

AC Sevenum;Reggie Vinke;06-86800452;ReggieVinke@jourrapide.com;Van Ulftstraat 42;Sevenum;dinsdag 22 januari 2019;Bezorgen;dinsdag 22 januari 2019;18:38;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Voorburg;Lauretta Wolsink;06-38074542;LaurettaWolsink@jourrapide.com;De Alsie 174;Diessen;vrijdag 16 november 2018;Bezorgen;vrijdag 16 november 2018;17:31;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;Tonijn, Spinazie;€ 2,50;€ 12,45;€ 27,40;;€ 0,00;€ 27,40
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;

Valkenswaard;Nickolai Rieken;06-97383215;NickolaiRieken@einrot.com;Weteringstraat 82;Valkenswaard;woensdag 18 september 2019;Bezorgen;woensdag 18 september 2019;16:25;Americana;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 48,75;;€ 0,00;€ 48,75
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Amersfoort;Dogukan Boekhoudt;06-70395833;DogukanBoekhoudt@rhyta.com;Wiekslag 122;Amersfoort;woensdag 28 februari 2018;Afhalen;woensdag 28 februari 2018;20:15;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Amsterdam Bos en Lommerweg;Khalid Schaefer;06-60002749;KhalidSchaefer@dayrep.com;Tussen Meer 148;Amsterdam;woensdag 9 oktober 2019;Afhalen;woensdag 9 oktober 2019;18:07;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 73,55;;€ 0,00;€ 73,55
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 11,90;;;;
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 31,80;;;;

Tilburg Thomas van Aquinostraat;Emmily Baarslag;06-24416625;EmmilyBaarslag@dayrep.com;Wandelboslaan 45;Tilburg;zaterdag 1 september 2018;Afhalen;zaterdag 1 september 2018;19:53;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 26,35;;€ 0,00;€ 26,35
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;;1;Honing Mosterdsaus, Champignons;€ 1,50;€ 8,45;;;;

Leidschendam;Harmanna Aspers;06-15035517;HarmannaAspers@superrito.com;Van de Wateringelaan 21;Voorburg;maandag 23 oktober 2017;Afhalen;maandag 23 oktober 2017;17:57;Veggi;Large Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 43,80;€ 52,75;;€ 0,00;€ 52,75
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 8,95;;;;

Apeldoorn;Antoinette Gosens;06-17386646;AntoinetteGosens@armyspy.com;Garderenseweg 169;Uddel;maandag 26 augustus 2019;Bezorgen;maandag 26 augustus 2019;18:58;Americana;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 34,85;2e pizza gratis bij afhalen;€ 0,00;€ 34,85
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;

Rotterdam Mariniersweg;Aaldert Bijl;06-83358766;AaldertBijl@gustr.com;Pupillenstraat 134;Rotterdam;dinsdag 28 februari 2017;Bezorgen;dinsdag 28 februari 2017;19:14;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;4;;€ 0,00;€ 47,80;€ 110,55;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 108,55
;;;;;;;;;;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;Salami, Verse Tomaat;€ 2,00;€ 14,95;;;;
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;

Sittard;Errol Kemperman;06-13923684;ErrolKemperman@cuvox.de;Kerkstraat Broeksittard 51;Sittard;zondag 31 december 2017;Afhalen;zondag 31 december 2017;17:05;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;€ 33,80;;€ 0,00;€ 33,80
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Scheveningen;Yorinde Veld;06-50171325;YorindeVeld@jourrapide.com;Lijkweg 173;Groessen;zondag 4 juni 2017;Bezorgen;zondag 4 juni 2017;17:41;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 73,70;2e pizza gratis bij afhalen;€ 0,00;€ 73,70
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;

Eindhoven Woensel;Hilary Creemers;06-56890897;HilaryCreemers@superrito.com;Seinelaan 86;Eindhoven;maandag 24 september 2018;Afhalen;maandag 24 september 2018;20:41;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 7,95;€ 7,95;;€ 0,00;€ 7,95

Enschede;Micah Theuns;06-81457256;MicahTheuns@cuvox.de;t Sander 133;Enschede;dinsdag 18 juni 2019;Bezorgen;dinsdag 18 juni 2019;16:23;Hawaii;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 54,75;;€ 0,00;€ 54,75
;;;;;;;;;;Hawaii;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Middelburg;Désiree van Swaaij;06-64539819;DesireevanSwaaij@dayrep.com;Poelendaeleweg 198;Middelburg;vrijdag 13 juli 2018;Bezorgen;vrijdag 13 juli 2018;17:17;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 58,75;;€ 0,00;€ 58,75
;;;;;;;;;;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Rotterdam Vuurplaat;Yanaika Havermans;06-23012610;YanaikaHavermans@superrito.com;Curcumastraat 182;Hoogvliet;dinsdag 15 mei 2018;Afhalen;dinsdag 15 mei 2018;20:40;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Landgraaf;Ilona Heukels;06-46948311;IlonaHeukels@rhyta.com;Maastrichterlaan 145;Landgraaf;woensdag 4 oktober 2017;Afhalen;woensdag 4 oktober 2017;16:57;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 13,90;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 13,90
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;;;;

Tilburg Laarstraat;Nikolina Yigit;06-97666399;NikolinaYigit@gustr.com;Achthoevenstraat 125;Udenhout;zondag 27 oktober 2019;Afhalen;zondag 27 oktober 2019;19:23;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;;4;;€ 0,00;€ 39,80;€ 39,80;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 37,80

Hoorn;Shauni Wijntjes;06-46410338;ShauniWijntjes@armyspy.com;Vermeerlaan 66;Hoorn;vrijdag 31 maart 2017;Bezorgen;vrijdag 31 maart 2017;19:48;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Verse Tomaat, Salami, Tonijn, Kaas;€ 4,50;€ 13,45;€ 138,95;;€ 0,00;€ 138,95
;;;;;;;;;;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 55,80;;;;
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;€ 2,00;4;Kaasmix;€ 1,50;€ 49,80;;;;

Purmerend;Clifton van Welij;06-49688444;CliftonvanWelij@dayrep.com;Ruth Firststraat 20;Purmerend;woensdag 26 juli 2017;Afhalen;woensdag 26 juli 2017;20:41;Beenham;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

Hellevoetsluis;Klaartje Florie;06-80521072;KlaartjeFlorie@armyspy.com;President Paterstraat 200;Hellevoetsluis;vrijdag 28 juli 2017;Afhalen;vrijdag 28 juli 2017;20:11;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;€ 49,75;;€ 0,00;€ 49,75
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 15,90;;;;

Soest;Daisy Kempe;06-47735561;DaisyKempe@rhyta.com;Dokter Rupertlaan 192;Soest;maandag 6 maart 2017;Afhalen;maandag 6 maart 2017;18:12;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 11,95;€ 11,95;2e pizza gratis bij afhalen;€ 0,00;€ 11,95

Voorschoten;Jasper Grootfaam;06-27080393;JasperGrootfaam@armyspy.com;Bartoklaan 96;Voorschoten;dinsdag 20 februari 2018;Bezorgen;dinsdag 20 februari 2018;20:36;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 102,55;25% korting op je bestelling;€ 25,64;€ 76,91
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 51,80;;;;

Purmerend;Nikolaj Wielaard;06-99115022;NikolajWielaard@jourrapide.com;Kanaaldijk 25;Purmerend;dinsdag 22 januari 2019;Bezorgen;dinsdag 22 januari 2019;20:35;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 51,80;;€ 0,00;€ 51,80
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;

Rotterdam Noord;Divano Bakkum;06-85398672;DivanoBakkum@jourrapide.com;Ommoordsestraat 199;Rotterdam;vrijdag 31 augustus 2018;Afhalen;vrijdag 31 augustus 2018;19:33;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 11,95;€ 39,75;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 37,75
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 27,80;;;;

Dongen;Cyrilla Nout;06-21406689;CyrillaNout@cuvox.de;Paul Rodenkostraat 111;Dongen;woensdag 26 april 2017;Bezorgen;woensdag 26 april 2017;19:57;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;€ 2,00;4;;€ 0,00;€ 39,80;€ 63,70;2e pizza gratis bij afhalen;€ 0,00;€ 63,70
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;

Velp;Arendje Talen;06-89874412;ArendjeTalen@fleckens.hu;Merelstraat 147;Hulst;woensdag 17 januari 2018;Afhalen;woensdag 17 januari 2018;18:40;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 48,80;2e pizza gratis bij afhalen;€ 8,95;€ 39,85
;;;;;;;;;;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Roermond;Gertruida van Dodewaard;06-64698477;GertruidavanDodewaard@dayrep.com;Mercuriusstraat 157;Roermond;maandag 1 mei 2017;Afhalen;maandag 1 mei 2017;17:07;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;€ 4,95;3e pizza gratis bij bezorgen;€ 0,00;€ 4,95

Geldrop;Jan-Pieter Knipscheer;06-74825547;Jan-PieterKnipscheer@rhyta.com;Industriepark 149;Geldrop;zaterdag 4 mei 2019;Bezorgen;zaterdag 4 mei 2019;17:49;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 90,65;;€ 0,00;€ 90,65
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Breda Graaf Hendrik III Plein;Steffan Hemelrijk;06-34950496;SteffanHemelrijk@armyspy.com;Katerdonk 124;Breda;maandag 28 mei 2018;Bezorgen;maandag 28 mei 2018;18:02;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 56,75;;€ 0,00;€ 56,75
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Kampen;Gilano Nijenkamp;06-49927906;GilanoNijenkamp@einrot.com;Oudestraat 146;Kampen;zaterdag 19 augustus 2017;Afhalen;zaterdag 19 augustus 2017;18:55;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 88,55;;€ 0,00;€ 88,55
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 39,80;;;;
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;

Geleen;Mexx van de Meerakker;06-79790509;MexxvandeMeerakker@jourrapide.com;Plakstraat 29;Sittard;dinsdag 20 maart 2018;Bezorgen;dinsdag 20 maart 2018;18:09;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;€ 29,85;;€ 0,00;€ 29,85
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Spijkenisse;Amar van den Eijkel;06-71443027;AmarvandenEijkel@armyspy.com;Schalmeistraat 142;Spijkenisse;vrijdag 23 maart 2018;Bezorgen;vrijdag 23 maart 2018;20:49;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 39,80;€ 52,75;;€ 0,00;€ 52,75
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Helmond Brandevoort;Dilek Bens;06-22771801;DilekBens@dayrep.com;Van Ommerenstraat 71;Helmond;donderdag 21 juni 2018;Afhalen;donderdag 21 juni 2018;18:35;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;€ 17,90;;€ 0,00;€ 17,90
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 10,95;;;;

Roermond;Marina Fransman;06-48732398;MarinaFransman@superrito.com;Beemdenlaan 75;Roermond;vrijdag 24 maart 2017;Bezorgen;vrijdag 24 maart 2017;16:08;Supreme;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;Spinazie, Beenham, Knoflooksaus Swirl, Gehakt;€ 4,00;€ 17,95;€ 27,90;;€ 0,00;€ 27,90
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Groningen Paterswoldseweg;Aziza Snippe;06-80625073;AzizaSnippe@rhyta.com;Fossemaheerd 59;Groningen;woensdag 25 december 2019;Bezorgen;woensdag 25 december 2019;19:37;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 40,80;;€ 0,00;€ 40,80
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;;;;

Wassenaar;Rahim Gerritsen;06-90442193;RahimGerritsen@rhyta.com;Molenweg 139;Wassenaar;zondag 15 oktober 2017;Bezorgen;zondag 15 oktober 2017;20:55;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 89,60;;€ 0,00;€ 89,60
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Dordrecht Bamendaweg;Sydney Schmidt;06-12493189;SydneySchmidt@teleworm.us;Riedijk 73;Dordrecht;vrijdag 12 juli 2019;Afhalen;vrijdag 12 juli 2019;20:58;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;€ 71,60;;€ 0,00;€ 71,60
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;4;;€ 0,00;€ 31,80;;;;
;;;;;;;;;;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;2;Honing Mosterdsaus, Knoflooksaus Swirl, Paprikamix, Beenham;€ 3,50;€ 20,90;;;;
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 9,95;;;;

Gouda;Graziëlla Kleijne;06-67611835;GraziellaKleijne@fleckens.hu;Hoge Gouwe 192;Gouda;vrijdag 10 mei 2019;Bezorgen;vrijdag 10 mei 2019;19:34;Tonno;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 94,60;;€ 0,00;€ 94,60
;;;;;;;;;;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;4;;€ 0,00;€ 47,80;;;;
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

AC Sevenum;Roelf Droog;06-85777592;RoelfDroog@einrot.com;Tongerlostraat 180;Sevenum;dinsdag 6 november 2018;Bezorgen;dinsdag 6 november 2018;19:54;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 32,85;;€ 0,00;€ 32,85
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;Chorizo, Spaanse Pepers, Chicken Kebab, Pepperoni;€ 5,00;€ 23,90;;;;

Maassluis;Cameron Frissen;06-85830369;CameronFrissen@rhyta.com;Van Scorelstraat 22;Maassluis;dinsdag 2 april 2019;Bezorgen;dinsdag 2 april 2019;17:14;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 21,90;;€ 0,00;€ 21,90

Utrecht Rijnlaan;Perla Smallenbroek;06-36011386;PerlaSmallenbroek@superrito.com;Dantelaan 19;Utrecht;vrijdag 27 oktober 2017;Afhalen;vrijdag 27 oktober 2017;17:31;Caprese;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;€ 62,65;;€ 0,00;€ 62,65
;;;;;;;;;;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 11,90;;;;

Nootdorp;Shawny van der Luit;06-64606139;ShawnyvanderLuit@dayrep.com;Persoonshaven 162;Rotterdam;dinsdag 31 juli 2018;Bezorgen;dinsdag 31 juli 2018;16:11;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 62,70;;€ 0,00;€ 62,70
;;;;;;;;;;Tonno;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;Spaanse Pepers, Basilicum;€ 1,50;€ 22,90;;;;

